gene_name	num_isoforms
RSAD2	9
""	NA
""	NA
""	NA
""	NA
""	NA
OASL	11
TRIM22	18
CXCL10	1
MX2	18
DHX58	8
IDO1	9
DDX58	NA
CD274	5
DDX60	12
OAS2	15
CXCL11	2
SAMD9L	9
SLC24A1	12
ZBP1	9
SLC15A3	14
PARP15	6
""	NA
IFI6	4
NLRC5	29
SAMD9	3
""	NA
""	NA
""	NA
OAS1	33
COMP	4
DGKI	14
LMO2	6
HERC6	7
""	NA
IRF7	17
TNFSF13B	6
SOCS1	2
SCNN1G	1
EPSTI1	10
""	NA
""	NA
IFIH1	8
PARP14	7
ALAS2	9
XAF1	19
PARP12	12
GBP6	1
""	NA
IL12RB1	7
KANK4	4
PSMB8	7
FAM26F	NA
UBA7	11
TRIM40	4
NLRC4	5
PDCD1LG2	1
""	NA
GDAP1L1	8
TNFRSF9	4
BCL2L14	14
HERC5	5
DRAM1	7
SLC13A3	11
IRF9	70
IL4I1	8
RTP4	1
MX1	48
""	NA
TNF	2
PDE2A	27
BATF2	5
TMEM140	2
""	NA
GIMAP4	5
IL15RA	22
""	NA
CCL5	3
ACKR4	2
PRRG2	5
GSAP	13
SLC6A12	17
""	NA
CIITA	20
""	NA
SIGLEC1	3
SECTM1	8
""	NA
""	NA
CMPK2	7
DUSP15	10
ZSCAN10	10
DTX3L	2
TNFSF15	2
""	NA
SERPING1	22
NMUR2	2
ETV7	8
CCL8	1
TAP1	11
""	NA
VCAM1	6
""	NA
""	NA
FAM212A	NA
TRANK1	7
OAS3	37
ISG20	11
""	NA
RNF213	20
FAM46A	NA
MOB3C	3
TDRD7	2
C2	24
PARP9	8
""	NA
TLR3	9
GIMAP1	2
CXCL8	5
""	NA
SLCO5A1	8
""	NA
SMAGP	8
""	NA
SAMHD1	30
REC8	13
""	NA
PPP1R1B	10
TBX1	8
PSMB9	5
UBE2L6	5
TRIM26	8
CTSO	10
MXD1	6
TNFAIP3	9
HELZ2	6
RNASEL	2
STAT1	41
MORC3	12
MLKL	8
IRF1	50
IFI35	8
RNF19B	3
STAT2	42
PARP11	8
TMEM74B	3
EIF4E1B	9
GIMAP2	3
PML	22
ADRB2	1
""	NA
C19orf38	3
IL17RC	47
EIF2AK2	14
BST2	3
ZNFX1	6
MB21D1	NA
NMI	4
ADAR	42
TMCC3	4
""	NA
CCL13	2
ATF3	10
IRF2	23
TGM2	6
TNFSF10	6
APOL6	1
TRIM14	6
SP100	19
IL15	8
NUB1	12
""	NA
MFSD12	13
HLA-DOA	6
CCDC81	10
""	NA
RINL	10
PSMB10	5
WARS	NA
TRIM25	12
CPNE8	9
C19orf66	NA
IFIT5	8
SLC25A28	10
TAF4B	3
SLC25A30	8
CCDC64B	NA
CCL20	5
""	NA
TRIM5	14
PLAG1	5
ARHGEF5	4
NR4A3	4
C1R	16
TNFRSF14	16
IL6	9
LRRK2	21
""	NA
PRM3	1
CLEC2D	16
USP43	6
FLT3LG	12
SPTLC3	6
LYSMD2	4
EPHX2	13
SAT1	8
C1S	23
STX11	4
PGM2L1	2
""	NA
TOX3	5
TRIM21	2
GPR87	2
ABTB2	2
IRF8	18
5S_rRNA	9
CYP27A1	5
TNIP3	7
GLCCI1	12
RICTOR	11
FOXS1	1
DENND2D	8
HLA-DMA	9
MST1R	15
AFAP1L2	7
BIK	1
FBXO15	14
NFKBIA	21
GALNT5	3
RBM43	2
PLEKHA4	16
SP140L	10
ZER1	4
ASPHD2	1
""	NA
DAPP1	4
TAPBPL	8
GTF2B	7
RIPK2	4
CYB5A	7
TCIRG1	22
CTSS	19
PARP10	23
ZC3HAV1	5
ARID5A	7
GLI2	12
ANKRD35	2
PSME2	18
SLC25A37	12
NDRG1	61
SYTL2	29
USP25	10
TMEM50A	6
MPZ	7
DTNBP1	12
TTC31	13
EHD4	2
TCEANC2	5
EHD3	1
TCAF2	8
RAB27A	16
ALPK2	6
CD74	12
KIAA1109	NA
JADE2	17
TNFAIP6	2
EXOC3L4	9
CD40	14
B2M	12
RGCC	2
RFX5	21
TMEM229B	7
TMEM171	2
TRAFD1	9
RAB8B	5
MYCBP2	29
TRAF5	7
IL18RAP	5
