gene_name	num_isoforms
CXCL10	1
CXCL11	2
RSAD2	9
IFIT2	15
MX1	48
IFIT1	2
OASL	11
CCL8	1
GBP4	3
CXCL9	1
ETV7	8
CMPK2	7
IFI44L	18
GBP1P1	8
IFIT3	15
BATF2	5
TNFSF10	6
IFIT6P	1
HERC5	5
OAS1	33
SSTR2	2
AC012363.4	NA
IDO1	9
MX2	18
USP18	5
IFIH1	8
GBP7	2
IFIT1B	1
GBP5	5
IFIT1P1	1
AC011997.1	NA
DDX58	NA
HRASLS2	NA
ISG15	3
TNFSF13B	6
C16orf47	NA
LGALS17A	21
OAS2	15
C3AR1	2
RTP4	1
HERC6	7
AIM2	9
OAS3	37
USP30-AS1	2
ZMYND15	6
CD274	5
GBP1	9
PCDH17	4
ANGPTL1	3
SAMD9L	9
HELZ2	6
RP11-1260E13.4	NA
IFI44	9
TLR3	9
EXOC3L1	7
GRIP2	7
EPSTI1	10
BTC	2
SLC26A4-AS1	20
CIITA	20
BATF3	3
DDX60L	16
RP11-148B18.4	NA
KIF5C	37
ISG20	11
PARP14	7
FAM107A	8
CX3CL1	4
PIK3AP1	6
ARL9	3
XAF1	19
RP11-326I11.5	NA
HES4	4
IRF7	17
CD38	5
APOL2	9
KIAA0040	6
SAMD9	3
GMPR	4
APOL3	21
IL15RA	22
BST2	3
RP11-149I23.3	NA
NOD2	17
SLFN12L	5
THEMIS2	11
ANO7P1	NA
IFI6	4
LGALS9	16
RP11-134L10.1	NA
TAP1	11
AC104654.2	NA
RET	13
APOBEC3G	7
TRIM14	6
CACNA1I	5
LRRTM2	4
APOBEC3F	4
ASPHD2	1
XIRP1	3
APOL6	1
FYB	NA
PARP12	12
WARS	NA
PPM1K	10
SLITRK2	2
GBP3	12
GSDMC	3
GIMAP2	3
STX11	4
HSH2D	8
PLSCR1	19
IFI35	8
SP110	21
SLCO5A1	8
SAMHD1	30
CXCL16	5
PARP9	8
GCH1	6
RNF213	20
DHX58	8
IL18BP	18
CCL7	3
C5orf56	NA
TMEM140	2
ARHGAP27	24
DDX60	12
ACTN2	25
RP3-508I15.21	NA
PNPT1	7
FAM26F	NA
PNPT1P1	1
TMEM171	2
SOCS1	2
MLKL	8
ANXA2R	2
TSPAN33	4
IRF1	50
