gene_name	num_isoforms
2   stat1	NA
5s_rrna	9
aabr07021804.1	NA
aabr07025272.1	NA
aabr07058464.1	NA
aabr07068214.1	NA
aass	27
abca1	5
abca4	7
abcg2	5
abhd1	8
ablim1	15
abtb2	2
ac004988.1	NA
ac009948.5	NA
ac011997.1	NA
ac012363.4	NA
ac025171.1	NA
ac104654.2	NA
ac119015.2	NA
ackr4	2
acsl5	8
actn2	25
adar	42
adar	42
adgrd1	16
adgrg6	14
adra1d	2
adrb2	1
afap1l2	7
agbl2	13
aim1	NA
aim2	9
akap7	11
alas2	9
alpk1	19
alpk2	6
angptl1	3
ankrd35	2
ankrd45	2
ano7p1	NA
anxa2r	2
ap1s3	18
apaf1	14
apobec3d	3
apobec3f	4
apobec3g	7
apobec3h	7
apol1	10
apol1	10
apol2	9
apol2	9
apol3	21
apol3	21
apol4	13
apol4	13
apol5	1
apol6	1
apol9a	NA
arhgap27	24
arhgap8	12
arhgef5	4
arid5a	7
arl4a	7
arl5b	1
arl6ip1	8
arl9	3
arntl2	NA
asb9	9
asphd2	1
atad1	8
atad2	8
atf3	10
atp10a	19
atp10d	7
atp8a1	11
atp8b4	19
atxn3	54
azi2	14
b2m	12
b2m	12
b3galnt1	51
b3galt2	1
b3gnt3	4
b3gnt7	4
b4galnt4	5
bak1	2
batf2	5
batf3	3
bcas1	11
bcl2l14	14
bco1	3
bend5	6
bhlhe41	3
bid	11
bik	1
blnk	25
bmpr1b	9
bpnt1	11
brca1	41
brip1	26
bst2	3
btc	2
btn3a1	12
btn3a3	15
c10orf10	NA
c15orf48	4
c16orf47	NA
c19orf38	3
c19orf66	NA
c1orf109	NA
c1r	16
c1s	23
c2	24
c2	24
c21orf91	6
c3ar1	2
c4a	18
c5ar2	2
c5orf56	NA
c9orf91	NA
ca13	5
cacna1i	5
camk1d	3
camkk2	17
card16	5
casp1	22
casp10	15
casp12	12
casp4	13
casp7	13
casp8	25
casp8	25
cbln3	2
ccdc109b	NA
ccdc184	1
ccdc64b	NA
ccdc81	10
ccl11	1
ccl13	2
ccl2	3
ccl20	5
ccl5	3
ccl7	3
ccl8	1
ccrl2	7
cd274	5
cd274	5
cd38	5
cd40	14
cd47	6
cd7	8
cd74	12
cda	2
cdadc1	6
cdhr4	6
cdkl1	11
cdkn2aip	5
cenpj	6
cep152	10
cep44	10
cfh	39
cgnl1	3
ch25h	1
chrnb1	8
chst1	3
chst2	1
ciita	20
cited1	11
cldn1	2
cldn23	1
clec14a	1
clec2d	16
cmah	NA
cmpk2	7
cmpk2	7
cmtm6	3
cmtr1	6
cmtr1	6
cmtr2	8
cndp1	7
cnih4	8
cnksr1	14
cnp	12
col11a1	14
col6a6	3
col9a3	14
comp	4
cpeb3	3
cpne8	9
csdc2	2
csf1	9
csrnp2	8
ctc-479c5.12	NA
ctso	10
ctss	19
cul4b	40
cx3cl1	4
cxcl10	1
cxcl11	2
cxcl12	7
cxcl16	5
cxcl8	5
cxcl9	1
cxcr4	7
cyb5a	7
cyp27a1	5
cyp2j2	5
cysltr2	6
dapp1	4
daxx	11
dcp2	9
ddo	3
ddx58	NA
ddx58	NA
ddx60	12
ddx60l	16
dennd2d	8
dgki	14
dhrs3	12
dhx58	8
dhx58	8
dio2	10
dlg3	10
dll1	2
dll4	3
dmp1	7
dmxl2	14
dnaja1	3
dnajc13	9
dnajc13	9
dnase2	7
dram1	7
dtnbp1	12
dtx3l	2
dtx3l	2
dusp15	10
dysf	22
ebf3	5
edh4	NA
edn1	1
efhd1	6
egf	13
ehd3	1
ehd4	2
eid3	1
eif2ak2	14
eif2ak2	14
eif4e1b	9
eif4e3	10
enpp4	1
entpd4	11
ephx2	13
epn3	17
epsti1	10
erap1	9
erap1	9
erap2	12
esr1	14
esrrg	25
etv7	8
exoc3l1	7
exoc3l4	9
exoc6	9
eya1	24
f2rl1	2
fam107a	8
fam111a	18
fam111b	6
fam124a	4
fam149a	19
fam212a	NA
fam26f	NA
fam46a	NA
fam46a	NA
fam46c	NA
fam65c	NA
faxdc2	16
fblim1	15
fbxo15	14
fbxo16	11
fbxo33	3
fbxo39	3
fbxo6	3
flt3lg	12
fmr1	35
foxs1	1
fpr2	6
fundc1	2
fyb	NA
fzd5	1
fzd6	7
galnt3	10
galnt5	3
ganc	13
gata6	2
gbp1	9
gbp1p1	8
gbp2	4
gbp3	12
gbp4	3
gbp5	5
gbp6	1
gbp7	2
gca	10
gch1	6
gcnt1	6
gcnt4	2
gda	9
