gene_name	num_isoforms
a1bg	7
a1cf	9
a2m	13
a2ml1	9
aaas	22
aacs	12
aadacl3	2
aadat	8
aak1	13
aanat	4
aard	2
aars1	42
aarsd1	19
aasdh	10
aatf	23
aatk	11
abat	16
abca10	13
abca12	3
abca13	8
abca2	22
abca3	6
abca4	7
abca5	14
abca6	7
abca7	18
abca8	14
abca9	8
abcb1	11
abcb4	12
abcb7	17
abcb8	22
abcc1	11
abcc10	10
abcc11	9
abcc12	14
abcc2	10
abcc4	16
abcc6	8
abcc8	100
abcc9	20
abcd1	3
abcd4	28
abcf1	7
abcg1	11
abcg2	5
abcg8	3
abhd1	8
abhd12b	9
abhd14a	5
abhd16b	1
abhd17b	2
abhd17c	5
abhd8	3
abi3bp	29
ablim2	17
ablim3	11
abr	36
abra	1
abraxas1	9
acaa1	18
acacb	15
acad10	24
acad8	17
acadm	61
acadsb	4
acan	8
acap2	15
acbd4	16
acbd7	2
accs	13
accsl	2
acd	44
ace	21
ace2	11
ache	14
acin1	23
ackr2	11
aco2	32
acod1	1
acot1	2
acot13	3
acot2	4
acot4	1
acot6	3
acot7	9
acot9	8
acoxl	11
acp4	1
acp7	4
acr	4
acrbp	9
acrv1	4
acsbg1	14
acsbg2	15
acsf2	25
acsf3	19
acsl1	16
acsl5	8
acsm1	6
acsm2a	16
acsm2b	19
acsm4	2
acsm5	7
acss1	5
acss2	24
actl9	1
actn1	47
actn3	3
actr3b	5
actr6	13
actrt3	1
acvr1b	7
acvr1c	4
acvr2a	7
acvr2b	3
acvrl1	10
acy1	29
acy3	2
acyp1	6
ada2	30
adad2	9
adal	NA
adam11	5
adam12	7
adam18	8
adam19	5
adam2	6
adam21	2
adam22	14
adam28	13
adam29	14
adam30	1
adam32	11
adam33	5
adam7	4
adam8	11
adam9	28
adamdec1	4
adamts1	10
adamts10	14
adamts12	6
adamts13	9
adamts14	2
adamts15	1
adamts16	4
adamts17	9
adamts18	9
adamts19	4
adamts2	6
adamts20	3
adamts3	3
adamts4	3
adamts5	2
adamts7	5
adamts8	2
adamts9	10
adamtsl1	15
adamtsl2	4
adamtsl3	8
adamtsl4	8
adar	42
adarb2	7
adat3	2
adck2	5
adcy1	5
adcy10	5
adcy2	8
adcy5	17
adcy6	9
adcy7	16
adcyap1r1	8
adgb	13
adgra3	13
adgrb1	5
adgrb2	15
adgre1	8
adgre3	6
adgrf2	NA
adgrf4	3
adgrf5	4
adgrg1	79
adgrg3	7
adgrg4	3
adgrg5	7
adgrg7	5
adgrl1	8
adgrl2	42
adgrl3	19
adh1a	3
adh4	11
adh5	13
adi1	3
adig	4
adipoq	2
adm	8
adm2	2
adnp	9
adnp2	5
ado	2
adora2a	15
adprhl1	5
adra1d	2
adra2a	1
adra2c	2
adrb2	1
adrb3	2
adsl	35
adtrp	10
aebp1	9
aebp2	9
aen	6
afap1	10
afap1l2	7
afdn	23
aff1	12
aff2	7
aff3	28
aff4	9
afm	2
afp	7
agap1	12
agap2	4
agap3	25
agbl1	6
agbl3	7
agbl5	10
ager	13
ago2	10
ago4	3
agpat1	8
agpat2	4
