gene_name	num_isoforms
COX7B2	4
CXCR4	7
CST11	2
IL12A	7
RADIL	7
SCGB1C2	1
HEBP2	4
DUSP2	3
WASHC2C	9
TMEM131	9
CSHL1	9
C1orf202	1
SMO	5
KDM6B	6
APOB	4
ZNF285	6
EXOC3	10
SMUG1	26
FAM124B	3
PDXP	2
OR56B4	1
LDHA	23
ZNF593	2
LBX1	1
GLTP	5
ABHD17C	5
GAD2	5
SMIM13	3
ABLIM1	15
DDX10	21
CPLX4	2
ALDH8A1	6
BBS12	3
ARFRP1	14
COMMD3	15
ENSG00000275778	1
CFP	8
PREB	9
BOLA2	2
NELFCD	14
ENSG00000285589	1
BARX2	2
RPEL1	1
NPR1	3
RPA1	7
CPLANE2	2
CNIH1	7
RNLS	4
UBALD2	3
PIK3R1	33
HAMP	3
RPL39	3
TOX2	6
MPV17	23
PRKAA2	1
VMA21	3
CSNK2A3	1
BBS2	109
DCAF12L2	1
FFAR3	2
CC2D1A	16
SLC35G1	6
MAGED2	13
VPS35L	22
ENSG00000258677	1
ARNT2	8
MAGEA2	10
PTPN1	2
INSM1	1
ACTN3	3
CYTL1	3
MBL2	3
LYPLA1	15
C19orf67	3
TOP3B	17
TRIM43	1
ENSG00000284906	3
APOOL	1
OGG1	18
NDE1	22
SPHK2	13
DLL3	5
VASP	13
CHSY1	6
SUZ12	4
SLC25A13	8
EIF3G	15
PPP1R15A	5
GABBR2	12
THAP8	4
CASC3	11
RNF113A	1
ENSG00000254553	1
WNT9A	1
KRT26	1
PPP2R1B	12
TBC1D22B	1
FAM178B	6
RAB19	2
PCYT1B	4
USP17L5	1
AZIN1	17
DPY19L2	9
MBOAT2	10
FEZ2	16
ENSG00000251158	1
SLC28A3	2
OGT	21
NOS1AP	6
DYNC1I2	25
B3GAT3	6
TMEM68	18
SLX1B	5
RASSF2	3
SYT2	2
BAALC	9
ZNF343	9
BCL11A	27
PLA2G7	2
EEF1E1-BLOC1S5	1
AMHR2	7
CHST8	6
GNS	9
CDCA3	12
STIMATE-MUSTN1	3
BCKDHB	6
CEP85L	11
FCN1	1
ERF	8
ENPP4	1
MED24	33
C1QTNF3-AMACR	1
OR56A4	4
MPPE1	30
ENSG00000288715	2
DNAI1	9
SDHAF2	16
PNLIPRP1	21
ENSG00000243501	1
LYSMD1	2
CCDC184	1
VNN1	1
RAB5B	11
TDRD5	4
ACKR3	2
OR4E1	1
MPST	7
RPL29	10
CD180	2
ZC3H12C	3
AQP9	3
PKNOX2	14
TRA2A	12
SNX1	14
CRIPT	5
TCN1	5
DYNLT2B	5
ENSG00000284820	1
KRTAP3-1	2
YARS2	3
ENSG00000268193	2
RBM4B	8
EPB41L4A	10
HMGN4	2
HMG20B	16
OR52J3	1
DGCR2	6
TPD52L1	17
N4BP2L1	12
CD63	16
MS4A13	4
CSKMT	4
PTHLH	9
TNNI3	16
TMX3	14
ISX	2
CCDC33	12
SCN10A	3
CELA1	1
TRPM2	7
CBX7	7
ENSG00000272921	1
PPARG	34
ADAM10	17
PPP3R1	3
CD40	14
SLC47A1	14
CLDN6	3
WDR5	3
NMRK2	5
OR10H2	1
SMPDL3A	3
MEX3C	3
MZT2A	6
MOSPD2	6
NFX1	6
L3MBTL4	8
SPG21	14
ODAM	6
MTERF2	8
