gene_name	gene_biotype	num_isoforms_total	num_protein_coding_isoforms	num_retained_intron_isoforms	num_nonsense_mediated_decay_isoforms	num_protein_coding_CDS_not_defined_isoforms	num_non_coding_isoforms	source
DDX11L16	lncRNA	82	0	0	0	0	82	ensembl
WASH7P	lncRNA	285	0	0	0	0	285	ensembl
MIR6859-1	miRNA	1	0	0	0	0	1	ensembl
MIR1302-2HG	lncRNA	4	0	0	0	0	4	ensembl
MIR1302-2	miRNA	1	0	0	0	0	1	ensembl
FAM138A	lncRNA	7	0	0	0	0	7	ensembl
ENSG00000308361	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000290826	lncRNA	2	0	0	0	0	2	ensembl
OR4F5	protein_coding	1	1	0	0	0	0	ensembl
ENSG00000241860	lncRNA	56	0	0	0	0	56	ensembl
ENSG00000239945	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000308314	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000308579	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000239906	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000310528	lncRNA	1	0	0	0	0	1	ensembl
RNU6-1100P	snRNA	1	0	0	0	0	1	ensembl
ENSG00000241599	lncRNA	1	0	0	0	0	1	ensembl
DDX11L2	lncRNA	63	0	0	0	0	63	ensembl
WASH9P	lncRNA	331	0	0	0	0	331	ensembl
MIR6859-2	miRNA	1	0	0	0	0	1	ensembl
ENSG00000308625	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000308544	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000292994	lncRNA	10	0	0	0	0	10	ensembl
ENSG00000306775	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000286448	lncRNA	10	0	0	0	0	10	ensembl
ENSG00000236601	lncRNA	5	0	0	0	0	5	ensembl
ENSG00000290385	lncRNA	27	0	0	0	0	27	ensembl
OR4F29	protein_coding	1	1	0	0	0	0	ensembl
U6	snRNA	33	0	0	0	0	33	ensembl
ENSG00000293331	lncRNA	11	0	0	0	0	11	ensembl
LINC00115	lncRNA	92	0	0	0	0	92	ensembl
ENSG00000235146	lncRNA	4	0	0	0	0	4	ensembl
ENSG00000278791	miRNA	1	0	0	0	0	1	ensembl
OR4F16	protein_coding	1	1	0	0	0	0	ensembl
RNU6-1199P	snRNA	1	0	0	0	0	1	ensembl
ENSG00000229905	lncRNA	1	0	0	0	0	1	ensembl
LINC01409	lncRNA	46	0	0	0	0	46	ensembl
FAM87B	lncRNA	1	0	0	0	0	1	ensembl
LINC01128	lncRNA	95	0	1	0	0	94	ensembl
ENSG00000297178	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000297224	lncRNA	2	0	0	0	0	2	ensembl
FAM41C	lncRNA	29	0	0	0	0	29	ensembl
ENSG00000296088	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000272438	lncRNA	48	0	0	0	0	48	ensembl
ENSG00000298603	lncRNA	1	0	0	0	0	1	ensembl
LINC02593	lncRNA	8	0	2	0	0	6	ensembl
SAMD11	protein_coding	15	11	3	0	1	0	ensembl
NOC2L	protein_coding	6	1	3	0	2	0	ensembl
KLHL17	protein_coding	4	1	2	1	0	0	ensembl
PLEKHN1	protein_coding	5	4	1	0	0	0	ensembl
PERM1	protein_coding	4	3	1	0	0	0	ensembl
ENSG00000303599	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000272512	lncRNA	1	0	0	0	0	1	ensembl
HES4	protein_coding	4	3	1	0	0	0	ensembl
ENSG00000303623	lncRNA	1	0	0	0	0	1	ensembl
ISG15	protein_coding	3	3	0	0	0	0	ensembl
ENSG00000303614	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000224969	lncRNA	1	0	0	0	0	1	ensembl
AGRN	protein_coding	10	4	6	0	0	0	ensembl
ENSG00000242590	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000291156	lncRNA	55	0	0	0	0	55	ensembl
ENSG00000273443	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000304119	lncRNA	10	0	0	0	0	10	ensembl
ENSG00000304169	lncRNA	3	0	0	0	0	3	ensembl
RNF223	protein_coding	1	1	0	0	0	0	ensembl
C1orf159	protein_coding	19	10	4	3	2	0	ensembl
ENSG00000285812	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000299943	lncRNA	1	0	0	0	0	1	ensembl
LINC01342	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000304965	lncRNA	1	0	0	0	0	1	ensembl
MIR200B	miRNA	1	0	0	0	0	1	ensembl
MIR200A	miRNA	1	0	0	0	0	1	ensembl
MIR429	miRNA	1	0	0	0	0	1	ensembl
ENSG00000272141	lncRNA	1	0	0	0	0	1	ensembl
TTLL10-AS1	lncRNA	1	0	0	0	0	1	ensembl
TTLL10	protein_coding	8	4	2	1	1	0	ensembl
TNFRSF18	protein_coding	4	4	0	0	0	0	ensembl
TNFRSF4	protein_coding	14	7	2	1	1	3	ensembl
SDF4	protein_coding	7	3	2	1	1	0	ensembl
B3GALT6	protein_coding	1	1	0	0	0	0	ensembl
C1QTNF12	protein_coding	5	1	4	0	0	0	ensembl
ENSG00000260179	lncRNA	1	0	0	0	0	1	ensembl
UBE2J2	protein_coding	20	10	2	6	2	0	ensembl
LINC01786	lncRNA	3	0	0	0	0	3	ensembl
SCNN1D	protein_coding	8	6	0	1	1	0	ensembl
ACAP3	protein_coding	13	2	8	1	2	0	ensembl
MIR6726	miRNA	1	0	0	0	0	1	ensembl
PUSL1	protein_coding	7	2	4	0	1	0	ensembl
INTS11	protein_coding	49	15	19	10	5	0	ensembl
MIR6727	miRNA	1	0	0	0	0	1	ensembl
ENSG00000240731	lncRNA	1	0	0	0	0	1	ensembl
CPTP	protein_coding	3	2	0	0	1	0	ensembl
TAS1R3	protein_coding	1	1	0	0	0	0	ensembl
DVL1	protein_coding	7	4	3	0	0	0	ensembl
MIR6808	miRNA	1	0	0	0	0	1	ensembl
ENSG00000304860	lncRNA	5	0	0	0	0	5	ensembl
MXRA8	protein_coding	10	4	6	0	0	0	ensembl
AURKAIP1	protein_coding	6	4	0	0	2	0	ensembl
CCNL2	protein_coding	19	3	9	4	3	0	ensembl
MRPL20-AS1	lncRNA	18	0	2	0	0	16	ensembl
MRPL20	protein_coding	6	3	1	0	2	0	ensembl
RN7SL657P	misc_RNA	1	0	0	0	0	1	ensembl
ENSG00000301639	lncRNA	1	0	0	0	0	1	ensembl
MRPL20-DT	lncRNA	1	0	0	0	0	1	ensembl
ANKRD65	protein_coding	5	5	0	0	0	0	ensembl
ANKRD65-AS1	lncRNA	2	0	0	0	0	2	ensembl
TMEM88B	protein_coding	1	1	0	0	0	0	ensembl
LINC01770	lncRNA	43	0	0	0	0	43	ensembl
VWA1	protein_coding	4	4	0	0	0	0	ensembl
ATAD3C	protein_coding	3	2	1	0	0	0	ensembl
ATAD3B	protein_coding	6	2	3	0	1	0	ensembl
ENSG00000290916	lncRNA	6	0	0	0	0	6	ensembl
ATAD3A	protein_coding	8	4	3	1	0	0	ensembl
TMEM240	protein_coding	2	2	0	0	0	0	ensembl
ENSG00000299413	lncRNA	1	0	0	0	0	1	ensembl
SSU72	protein_coding	4	2	2	0	0	0	ensembl
SSU72-AS1	lncRNA	2	0	1	0	0	1	ensembl
FNDC10	protein_coding	1	1	0	0	0	0	ensembl
ENSG00000286989	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000272106	lncRNA	1	0	0	0	0	1	ensembl
MIB2	protein_coding	32	11	13	6	2	0	ensembl
MMP23B	protein_coding	10	6	2	2	0	0	ensembl
CDK11B	protein_coding	9	6	0	2	1	0	ensembl
ENSG00000272004	lncRNA	4	0	0	0	0	4	ensembl
SLC35E2B	protein_coding	5	3	2	0	0	0	ensembl
ENSG00000293187	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000310190	lncRNA	35	0	0	0	0	35	ensembl
ENSG00000310238	lncRNA	3	0	0	0	0	3	ensembl
CDK11A	protein_coding	23	8	12	2	1	0	ensembl
ENSG00000268575	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000293188	lncRNA	6	0	0	0	0	6	ensembl
ENSG00000290854	lncRNA	4	0	0	0	0	4	ensembl
NADK	protein_coding	17	5	7	3	2	0	ensembl
ENSG00000302550	lncRNA	3	0	0	0	0	3	ensembl
GNB1	protein_coding	31	24	3	1	3	0	ensembl
GNB1-DT	lncRNA	18	0	0	0	0	18	ensembl
ENSG00000303984	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000294910	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000306476	lncRNA	1	0	0	0	0	1	ensembl
CALML6	protein_coding	4	2	1	0	1	0	ensembl
TMEM52	protein_coding	6	4	1	1	0	0	ensembl
CFAP74	protein_coding	10	3	7	0	0	0	ensembl
ENSG00000233542	lncRNA	5	0	0	0	0	5	ensembl
GABRD	protein_coding	19	9	8	1	1	0	ensembl
ENSG00000304958	lncRNA	8	0	0	0	0	8	ensembl
PRKCZ-DT	lncRNA	3	0	0	0	0	3	ensembl
