Species	Ensembl ID	Gene Name	Log2FC	FDR
Human	ENSG00000169245	CXCL10	12.6018	0
Human	ENSG00000169248	CXCL11	12.2037	0
Human	ENSG00000134321	RSAD2	11.3544	0
Human	ENSG00000119922	IFIT2	10.6027	0
Human	ENSG00000157601	MX1	9.88854	0
Human	ENSG00000185745	IFIT1	9.50028	0
Human	ENSG00000135114	OASL	9.36349	0
Human	ENSG00000108700	CCL8	9.28682	0
Human	ENSG00000162654	GBP4	9.20392	0
Human	ENSG00000138755	CXCL9	9.1444	0
Human	ENSG00000010030	ETV7	9.02261	0
Human	ENSG00000134326	CMPK2	8.97698	0
Human	ENSG00000137959	IFI44L	8.6594	0
Human	ENSG00000225492	GBP1P1	8.42359	0
Human	ENSG00000119917	IFIT3	8.32462	0
Human	ENSG00000168062	BATF2	8.16934	0
Human	ENSG00000121858	TNFSF10	8.10481	0
Human	ENSG00000224289	IFIT6P	8.09073	0
Human	ENSG00000138646	HERC5	7.97965	0
Human	ENSG00000089127	OAS1	7.92537	0
Human	ENSG00000180616	SSTR2	7.89917	0
Human	ENSG00000224789	AC012363.4	7.82194	0
Human	ENSG00000131203	IDO1	7.77038	0
Human	ENSG00000183486	MX2	7.71729	0
Human	ENSG00000184979	USP18	7.71171	0
Human	ENSG00000115267	IFIH1	7.69481	0
Human	ENSG00000213512	GBP7	7.6102	6.36027E-40
Human	ENSG00000204010	IFIT1B	7.27822	0
Human	ENSG00000154451	GBP5	7.17501	0
Human	ENSG00000215515	IFIT1P1	6.99108	0
Human	ENSG00000222017	AC011997.1	6.95879	1.0776E-42
Human	ENSG00000107201	DDX58	6.95411	0
Human	ENSG00000133328	HRASLS2	6.87861	1.26117E-43
Human	ENSG00000187608	ISG15	6.83242	0
Human	ENSG00000102524	TNFSF13B	6.81052	0
Human	ENSG00000197445	C16orf47	6.77473	0
Human	ENSG00000226025	LGALS17A	6.65673	0
Human	ENSG00000111335	OAS2	6.5604	0
Human	ENSG00000171860	C3AR1	6.5086	0
Human	ENSG00000136514	RTP4	6.44559	0
Human	ENSG00000138642	HERC6	6.41497	0
Human	ENSG00000163568	AIM2	6.4007	0
Human	ENSG00000111331	OAS3	6.17899	0
Human	ENSG00000256262	USP30-AS1	6.12473	1.30321E-43
Human	ENSG00000141497	ZMYND15	5.98947	0
Human	ENSG00000120217	CD274	5.86303	0
Human	ENSG00000117228	GBP1	5.84744	0
Human	ENSG00000118946	PCDH17	5.83893	0
Human	ENSG00000116194	ANGPTL1	5.82433	0
Human	ENSG00000177409	SAMD9L	5.73309	0
Human	ENSG00000130589	HELZ2	5.66453	0
Human	ENSG00000262061	RP11-1260E13.4	5.65054	0
Human	ENSG00000137965	IFI44	5.64144	0
Human	ENSG00000164342	TLR3	5.62741	0
Human	ENSG00000179044	EXOC3L1	5.57234	2.49333E-41
Human	ENSG00000144596	GRIP2	5.51303	0
Human	ENSG00000133106	EPSTI1	5.45887	0
Human	ENSG00000174808	BTC	5.35076	0
Human	ENSG00000233705	SLC26A4-AS1	5.29136	0
Human	ENSG00000179583	CIITA	5.25977	0
Human	ENSG00000123685	BATF3	5.24234	0
Human	ENSG00000181381	DDX60L	5.2216	0
Human	ENSG00000236098	RP11-148B18.4	5.21004	4.86731E-27
Human	ENSG00000168280	KIF5C	5.20223	0
Human	ENSG00000172183	ISG20	5.20065	0
Human	ENSG00000173193	PARP14	5.13819	0
Human	ENSG00000168309	FAM107A	5.06233	0
Human	ENSG00000006210	CX3CL1	5.05812	9.11968E-33
Human	ENSG00000155629	PIK3AP1	5.04345	0
Human	ENSG00000196503	ARL9	4.99651	0
Human	ENSG00000132530	XAF1	4.99632	0
Human	ENSG00000270426	RP11-326I11.5	4.97273	3.5621E-42
Human	ENSG00000188290	HES4	4.92212	0
Human	ENSG00000185507	IRF7	4.85815	0
Human	ENSG00000004468	CD38	4.81787	4.34403E-44
Human	ENSG00000128335	APOL2	4.80897	1.18753E-40
Human	ENSG00000235750	KIAA0040	4.80117	1.6667E-41
Human	ENSG00000205413	SAMD9	4.80019	0
Human	ENSG00000137198	GMPR	4.79908	0
Human	ENSG00000128284	APOL3	4.7916	0
Human	ENSG00000134470	IL15RA	4.78273	0
Human	ENSG00000130303	BST2	4.77349	0
Human	ENSG00000232110	RP11-149I23.3	4.73794	1.94607E-33
Human	ENSG00000167207	NOD2	4.73659	0
Human	ENSG00000205045	SLFN12L	4.7311	8.9166E-41
Human	ENSG00000130775	THEMIS2	4.70663	0
Human	ENSG00000237276	ANO7P1	4.65844	0
Human	ENSG00000126709	IFI6	4.62191	0
Human	ENSG00000168961	LGALS9	4.57283	0
Human	ENSG00000272941	RP11-134L10.1	4.54494	0
Human	ENSG00000168394	TAP1	4.51065	0
Human	ENSG00000234362	AC104654.2	4.47222	2.31918E-31
Human	ENSG00000165731	RET	4.40559	0
Human	ENSG00000239713	APOBEC3G	4.38236	0
Human	ENSG00000106785	TRIM14	4.37034	0
Human	ENSG00000100346	CACNA1I	4.36157	3.01111E-33
Human	ENSG00000146006	LRRTM2	4.35648	2.34978E-29
Human	ENSG00000128394	APOBEC3F	4.3411	0
Human	ENSG00000128203	ASPHD2	4.33556	0
Human	ENSG00000168334	XIRP1	4.27549	0
Human	ENSG00000221963	APOL6	4.26191	0
Human	ENSG00000082074	FYB	4.25868	0
Human	ENSG00000059378	PARP12	4.21692	0
Human	ENSG00000140105	WARS	4.21652	0
Human	ENSG00000163644	PPM1K	4.21145	0
Human	ENSG00000185985	SLITRK2	4.19859	1.50911E-34
Human	ENSG00000117226	GBP3	4.1482	0
Human	ENSG00000147697	GSDMC	4.13681	7.37194E-32
Human	ENSG00000106560	GIMAP2	4.1336	0
Human	ENSG00000135604	STX11	4.13352	1.4013E-45
Human	ENSG00000196684	HSH2D	4.12686	4.20105E-24
Human	ENSG00000188313	PLSCR1	4.11412	0
Human	ENSG00000068079	IFI35	4.10312	0
Human	ENSG00000135899	SP110	4.07248	0
Human	ENSG00000137571	SLCO5A1	4.0487	7.81126E-38
Human	ENSG00000101347	SAMHD1	4.04093	0
Human	ENSG00000161921	CXCL16	4.02023	0
Human	ENSG00000138496	PARP9	4.01826	0
Human	ENSG00000131979	GCH1	4.01485	0
Human	ENSG00000173821	RNF213	3.94263	0
Human	ENSG00000108771	DHX58	3.93928	0
Human	ENSG00000137496	IL18BP	3.93443	3.0581E-26
Human	ENSG00000108688	CCL7	3.91386	0
Human	ENSG00000197536	C5orf56	3.91299	0
Human	ENSG00000146859	TMEM140	3.85839	0
Human	ENSG00000159314	ARHGAP27	3.85385	0
Human	ENSG00000137628	DDX60	3.85044	0
Human	ENSG00000077522	ACTN2	3.81748	3.49719E-30
Human	ENSG00000272669	RP3-508I15.21	3.79743	1.1398E-21
Human	ENSG00000138035	PNPT1	3.79186	0
Human	ENSG00000188820	FAM26F	3.79182	3.73667E-23
Human	ENSG00000229241	PNPT1P1	3.78933	0
Human	ENSG00000157111	TMEM171	3.7883	0
Human	ENSG00000185338	SOCS1	3.78497	0
Human	ENSG00000168404	MLKL	3.7783	0
Human	ENSG00000177721	ANXA2R	3.74861	3.99164E-38
Human	ENSG00000158457	TSPAN33	3.71833	3.69155E-22
Human	ENSG00000125347	IRF1	3.70883	0
Human	ENSG00000100342	APOL1	3.69554	0
Human	ENSG00000163840	DTX3L	3.68273	0
Human	ENSG00000196116	TDRD7	3.67927	0
Human	ENSG00000162645	GBP2	3.6698	0
Human	ENSG00000110446	SLC15A3	3.66876	0
Human	ENSG00000091137	SLC26A4	3.65907	1.3386E-38
Human	ENSG00000135363	LMO2	3.62651	0
Human	ENSG00000133401	PDZD2	3.61721	3.3747E-21
Human	ENSG00000272463	RP11-532F6.3	3.60443	8.88586E-27
Human	ENSG00000173762	CD7	3.59915	0
Human	ENSG00000162772	ATF3	3.58691	5.02315E-10
Human	ENSG00000132109	TRIM21	3.57279	0
Human	ENSG00000134716	CYP2J2	3.56118	1.81716E-27
Human	ENSG00000240065	PSMB9	3.52145	0
Human	ENSG00000172936	MYD88	3.5016	0
Human	ENSG00000203446	AC004988.1	3.49427	1.24294E-31
Human	ENSG00000140853	NLRC5	3.47782	0
Human	ENSG00000136492	BRIP1	3.4545	8.52019E-37
Human	ENSG00000141682	PMAIP1	3.4233	4.10985E-19
Human	ENSG00000133321	RARRES3	3.41966	0
Human	ENSG00000198133	TMEM229B	3.40097	0
Human	ENSG00000162687	KCNT2	3.38861	3.03184E-24
Human	ENSG00000123609	NMI	3.38011	0
Human	ENSG00000138670	RASGEF1B	3.37993	1.61409E-37
Human	ENSG00000183831	ANKRD45	3.3789	3.47734E-17
Human	ENSG00000105559	PLEKHA4	3.37615	0
Human	ENSG00000185880	TRIM69	3.36088	0
Human	ENSG00000100336	APOL4	3.35475	0
Human	ENSG00000151364	KCTD14	3.35451	1.4013E-45
Human	ENSG00000002549	LAP3	3.34996	0
Human	ENSG00000152689	RASGRP3	3.34471	7.34209E-13
Human	ENSG00000204267	TAP2	3.29872	0
Human	ENSG00000104951	IL4I1	3.28396	0
Human	ENSG00000198719	DLL1	3.27237	0
Human	ENSG00000213500	LAP3P2	3.25452	0
Human	ENSG00000135378	PRRG4	3.23324	2.33578E-26
Human	ENSG00000170542	SERPINB9	3.22186	9.46244E-26
Human	ENSG00000198963	RORB	3.21706	0
Human	ENSG00000204642	HLA-F	3.21247	0
Human	ENSG00000231187	RP11-38L15.3	3.19981	2.47564E-19
Human	ENSG00000142677	IL22RA1	3.14633	2.58935E-39
Human	ENSG00000137877	SPTBN5	3.12867	6.20164E-28
Human	ENSG00000134830	C5AR2	3.12454	3.61301E-22
Human	ENSG00000196092	PAX5	3.10638	2.9428E-17
Human	ENSG00000168016	TRANK1	3.10024	0
Human	ENSG00000213689	TREX1	3.09467	0
Human	ENSG00000116663	FBXO6	3.07928	0
Human	ENSG00000158714	SLAMF8	3.06996	3.66605E-17
Human	ENSG00000065060	UHRF1BP1	3.06113	0
Human	ENSG00000115339	GALNT3	3.05613	9.79279E-27
Human	ENSG00000105939	ZC3HAV1	3.05568	0
Human	ENSG00000185885	IFITM1	3.05096	0
Human	ENSG00000132256	TRIM5	3.03655	0
Human	ENSG00000164116	GUCY1A3	3.03353	8.60236E-07
