gene_name	num_isoforms	biotype	source
4933401J01Rik	1	TEC	ensembl
RNU6-1304P	1	snRNA	ensembl
XKR4	3	protein_coding	ensembl
Gm18956	1	processed_pseudogene	ensembl
Gm37180	1	TEC	ensembl
Gm37363	1	TEC	ensembl
Gm37686	1	TEC	ensembl
Gm1992	1	lncRNA	ensembl
Gm37329	1	TEC	ensembl
Gm7341	1	processed_pseudogene	ensembl
Gm38148	1	TEC	ensembl
Gm19938	1	lncRNA	ensembl
Gm10568	1	TEC	ensembl
Gm38385	1	TEC	ensembl
Gm27396	1	snRNA	ensembl
ENSMUSG00000142494	9	lncRNA	ensembl
Gm37381	2	lncRNA	ensembl
ENSMUSG00000133908	1	lncRNA	ensembl
RP1	3	protein_coding	ensembl
Gm6101	1	processed_pseudogene	ensembl
Gm37483	1	TEC	ensembl
ENSMUSG00000135717	2	lncRNA	ensembl
ENSMUSG00000139157	1	lncRNA	ensembl
SOX17	8	protein_coding	ensembl
Gm37587	5	lncRNA	ensembl
Gm7357	1	processed_pseudogene	ensembl
Gm22307	1	snRNA	ensembl
Gm38076	1	processed_pseudogene	ensembl
Gm37323	48	lncRNA	ensembl
ENSMUSG00000131850	22	lncRNA	ensembl
Gm7369	1	transcribed_processed_pseudogene	ensembl
Gm6085	1	processed_pseudogene	ensembl
Gm6119	1	processed_pseudogene	ensembl
ENSMUSG00000135930	7	lncRNA	ensembl
Gm56275	1	snRNA	ensembl
Gm2053	1	processed_pseudogene	ensembl
Gm6123	1	processed_pseudogene	ensembl
MRPL15	7	protein_coding	ensembl
Gm37144	1	TEC	ensembl
A930006A01Rik	2	lncRNA	ensembl
ENSMUSG00000136002	1	lncRNA	ensembl
LYPLA1	8	protein_coding	ensembl
Gm37988	1	protein_coding	ensembl
ENSMUSG00000137875	1	lncRNA	ensembl
TCEA1	2	protein_coding	ensembl
Gm6104	1	processed_pseudogene	ensembl
Gm37277	1	TEC	ensembl
RGS20	7	protein_coding	ensembl
Gm17100	1	processed_pseudogene	ensembl
Gm37079	1	TEC	ensembl
Gm16041	1	lncRNA	ensembl
Gm17101	1	processed_pseudogene	ensembl
ATP6V1H	8	protein_coding	ensembl
ENSMUSG00000143188	2	lncRNA	ensembl
Gm7182	1	processed_pseudogene	ensembl
ENSMUSG00000143351	1	lncRNA	ensembl
Gm37567	1	TEC	ensembl
Gm38264	1	TEC	ensembl
OPRK1	6	protein_coding	ensembl
Gm36965	1	processed_pseudogene	ensembl
Gm56304	1	miRNA	ensembl
Gm37429	1	TEC	ensembl
NPBWR1	1	protein_coding	ensembl
Gm19214	1	processed_pseudogene	ensembl
4732440D04Rik	5	lncRNA	ensembl
RB1CC1	16	protein_coding	ensembl
ALKAL1	1	protein_coding	ensembl
ENSMUSG00000143943	5	lncRNA	ensembl
Gm2147	1	processed_pseudogene	ensembl
Gm7417	1	transcribed_processed_pseudogene	ensembl
ENSMUSG00000141243	2	lncRNA	ensembl
Gm19026	1	processed_pseudogene	ensembl
ST18	13	protein_coding	ensembl
Gm42492	1	TEC	ensembl
Gm7449	1	processed_pseudogene	ensembl
Gm37108	1	processed_pseudogene	ensembl
Gm37275	1	processed_pseudogene	ensembl
Gm37225	1	processed_pseudogene	ensembl
Gm37489	1	processed_pseudogene	ensembl
Gm5694	1	processed_pseudogene	ensembl
Gm57122	1	lncRNA	ensembl
PCMTD1	8	protein_coding	ensembl
ENSMUSG00000138092	1	lncRNA	ensembl
Gm26983	1	processed_pseudogene	ensembl
Gm38372	1	TEC	ensembl
ENSMUSG00000126455	1	lncRNA	ensembl
Gm9826	1	processed_pseudogene	ensembl
Nras-ps2	1	processed_pseudogene	ensembl
ENSMUSG00000126493	1	lncRNA	ensembl
ENSMUSG00000144281	1	unitary_pseudogene	ensembl
Gm23274	1	snoRNA	ensembl
Gm26901	38	lncRNA	ensembl
Gm19002	1	processed_pseudogene	ensembl
Gm18984	1	processed_pseudogene	ensembl
Gm30414	1	lncRNA	ensembl
Gm37791	1	processed_pseudogene	ensembl
Gm7470	1	processed_pseudogene	ensembl
