gene_name	num_isoforms	biotype	source
DDX11L16	84	unprocessed_pseudogene	ensembl
DDX11L1	1	transcribed_unprocessed_pseudogene	ensembl
WASH7P	286	transcribed_unprocessed_pseudogene	ensembl
MIR6859-1	1	miRNA	ensembl
MIR1302-2HG	4	lncRNA	ensembl
MIR1302-2	1	miRNA	ensembl
FAM138A	7	lncRNA	ensembl
ENSG00000308361	1	lncRNA	ensembl
ENSG00000290826	2	lncRNA	ensembl
OR4G4P	1	transcribed_unprocessed_pseudogene	ensembl
OR4G11P	1	transcribed_unprocessed_pseudogene	ensembl
OR4F5	1	protein_coding	ensembl
ENSG00000241860	56	lncRNA	ensembl
ENSG00000239945	1	lncRNA	ensembl
ENSG00000308314	3	lncRNA	ensembl
CICP27	1	processed_pseudogene	ensembl
ENSG00000308579	1	lncRNA	ensembl
ENSG00000268903	1	transcribed_processed_pseudogene	ensembl
ENSG00000269981	1	transcribed_processed_pseudogene	ensembl
ENSG00000239906	1	lncRNA	ensembl
ENSG00000310528	1	lncRNA	ensembl
RNU6-1100P	1	snRNA	ensembl
ENSG00000241599	1	lncRNA	ensembl
DDX11L2	64	transcribed_unprocessed_pseudogene	ensembl
WASH9P	332	transcribed_unprocessed_pseudogene	ensembl
DDX11L17	1	transcribed_unprocessed_pseudogene	ensembl
MIR6859-2	1	miRNA	ensembl
ENSG00000308625	2	lncRNA	ensembl
ENSG00000308544	1	lncRNA	ensembl
ENSG00000292994	10	lncRNA	ensembl
ENSG00000228463	1	transcribed_processed_pseudogene	ensembl
ENSG00000306775	1	lncRNA	ensembl
ENSG00000286448	10	lncRNA	ensembl
RPL23AP24	1	transcribed_processed_pseudogene	ensembl
ENSG00000236601	5	lncRNA	ensembl
ENSG00000290385	27	lncRNA	ensembl
WBP1LP7	1	processed_pseudogene	ensembl
OR4F29	1	protein_coding	ensembl
ENSG00000237094	1	transcribed_unprocessed_pseudogene	ensembl
CICP7	1	transcribed_processed_pseudogene	ensembl
ENSG00000250575	1	unprocessed_pseudogene	ensembl
U6	33	snRNA	ensembl
ENSG00000293331	11	lncRNA	ensembl
LINC00115	92	lncRNA	ensembl
ENSG00000235146	4	lncRNA	ensembl
MTND1P23	1	unprocessed_pseudogene	ensembl
MTND2P28	1	unprocessed_pseudogene	ensembl
MTCO1P12	1	unprocessed_pseudogene	ensembl
ENSG00000278791	1	miRNA	ensembl
MTCO2P12	1	unprocessed_pseudogene	ensembl
MTATP8P1	1	unprocessed_pseudogene	ensembl
MTATP6P1	1	unprocessed_pseudogene	ensembl
MTCO3P12	1	unprocessed_pseudogene	ensembl
WBP1LP6	1	processed_pseudogene	ensembl
OR4F16	1	protein_coding	ensembl
ENSG00000230021	1	transcribed_processed_pseudogene	ensembl
CICP3	1	processed_pseudogene	ensembl
