gene_name	num_isoforms
ADAR	42
AZI2	14
B2M	12
C2	24
CASP8	25
CD274	5
CD47	6
CMPK2	7
DDX58	NA
DHX58	8
DNAJA1	3
DNAJC13	9
DTX3L	2
EIF2AK2	14
ERAP1	9
FMR1	35
HERC6	7
IFI35	8
IFIH1	8
IFIT2	15
IFIT3	15
IL15RA	22
IRF9	70
ISG15	3
LGALS9	16
MORC3	12
MX1	48
MYD88	15
NLRC5	29
NMI	4
NUB1	12
OAS1	33
PARP12	12
PARP14	7
PARP9	8
PML	22
PSMB8	7
PSME1	10
PSME2	18
RBCK1	20
RFX5	21
RICTOR	11
RNF19B	3
RNF213	20
RNF31	36
RSAD2	9
SERTAD1	1
SHISA5	19
SOCS1	2
STAT1	41
STAT2	42
TAP2	9
TAPBP	26
TAPBPL	8
TNFSF10	6
TRAFD1	9
TRIM21	2
TRIM25	12
UBA7	11
USP18	5
USP25	10
XAF1	19
ZC3HAV1	5
ZCCHC2	11
ZNFX1	6
